key,name,family,engine,status,audience,sigla,icon,note
heeca,,platform,Core,live,Plataforma heeca.com.br,,,
ticket,Ticket,ops,Ticket,live,Service desk para PMEs,,ticket,
invoice,Invoice,finance,Invoice,live,Orçamentos e propostas,,receipt,
beauty,Beauty,beauty,Schedule,live,Cabeleireiros · barbearias · manicure e pedicure · nail designers · lash · brow · esteticistas · maquiadores · studios de beleza,,sparkles,absorve Cut Barber Nail Lash Brow Skin Make (segmentos)
wellness,Wellness,beauty,Schedule,live,Spa · massagem · massoterapia · relaxamento · terapias corporais,,leaf,absorve Spa e Massage
bronze,Bronze,beauty,Schedule,soon,Bronzeamento artificial e natural,,sun,
ink,Ink,beauty,Schedule,soon,Tatuadores e studios de tatuagem,Ink,pen-tool, (era Tattoo)
piercing,Piercing,beauty,Schedule,soon,Studios de piercing,,gem,
move,Move,health,Schedule,soon,Fisioterapia · quiropraxia · pilates · yoga · terapias do movimento · ergonomia,,activity,absorve Physio Pilates Yoga Ergo
mind,Mind,health,Health,live,Psicologia e terapias psicológicas,,brain,absorve Therapy
nutri,Nutri,health,Health,soon,Nutricionistas,,apple,
dental,Dental,health,Health,live,Dentistas,,tooth,
med,Med,health,Health,soon,Médicos e clínicas,,stethoscope,
fono,Fono,health,Health,soon,Fonoaudiologia,Fn,audio-lines, (era Speech)
pet,Pet,pet,Schedule,soon,Veterinário · banho e tosa · hotel · day care · adestramento · pet sitter,,paw-print,absorve Groom Dog Stay Vet Care Training
food,Food,food,Commerce,soon,Restaurante · lanchonete · pizzaria · hamburgueria · confeitaria · marmitaria (templates),Fo,utensils,absorve Menu Delivery Order Bakery Cake Sweet Pizza Burger Coffee Marmita Catering
service,Service,service,Service,soon,Eletricista · encanador · pintor · limpeza · piscina · ar-condicionado · técnico · jardinagem · manutenção,,wrench,absorve Fix Plumb Repair Clean Garden Pool Air Solar Tech Auto Detail Wash Glass Locksmith
build,Build,home,Project,soon,Reformas · construção · pintura · marcenaria · móveis planejados · decoração · arquitetura · interiores,,hard-hat,absorve Reform Paint Wood Furniture Decor Architecture Interior
atelier,Atelier,fashion,Project,soon,Costureiras · alfaiates · ateliês · ajustes · bordados · personalização · confecção · moda sob medida,,shirt,absorve Sew Tailor Dress Embroidery Print Custom Fashion
event,Event,events,Project,soon,Organizadores · decoradores · cerimonialistas · festas · casamentos · locação · som · estruturas,,party-popper,absorve Party Wedding Sound Rental
studio,Studio,events,Studio,soon,Fotógrafos · videomakers · estúdios · criadores · produção audiovisual,Su,camera,absorve Photo Video
class,Class,education,Schedule,soon,Professores · reforço · idiomas · música · dança · arte · cursos · aulas particulares,,graduation-cap,absorve Tutor Music Language Dance Art Training Academy
store,Store,commerce,Commerce,live,Lojas · boutique · roupas · calçados · presentes · floriculturas · autopeças · papelaria · pequenos comércios,,shopping-bag,
kids,Kids,childcare,Schedule,soon,Creches · berçários · educação infantil · gestão de matrículas e turmas,,baby,gestão de creche/berçário (check-in/check-out de crianças por responsável autorizado)
adv,ADV,legal,Service,soon,Advogados · escritórios de advocacia · consultoria jurídica · contratos e processos,,scale,
